composition,temperature,Al_frac,Co_frac,Cr_frac,E_fcc,E_hcp,E_dhcp,lattice_param,volume,natoms,gamma_ISF,gamma_ESF,gamma_Twin
Comp01_Al100_Co00_Cr00,100,1.0000,0.0000,0.0000,-3.34690240,-3.32315182,-3.23774372,4.05502167,14402.34763814,864,10210.6560,5660.7329,5105.3280
Comp01_Al100_Co00_Cr00,350,1.0000,0.0000,0.0000,-3.31276195,-3.22599281,-3.21751094,4.06441852,14502.70508898,864,8868.5875,6454.0092,4434.2937
Comp01_Al100_Co00_Cr00,550,1.0000,0.0000,0.0000,-3.28390245,-3.18811963,-3.19132381,4.07532081,14619.72346482,864,8573.7129,6504.4695,4286.8565
Comp02_Al00_Co100_Cr00,100,0.0000,1.0000,0.0000,-4.38052679,-4.27120539,-4.26577309,3.54057795,9586.85661512,864,14079.9174,10393.3065,7039.9587
Comp02_Al00_Co100_Cr00,350,0.0000,1.0000,0.0000,-4.34668855,-4.25338328,-4.24136200,3.54964339,9660.68510620,864,12857.3107,9276.1207,6428.6553
Comp02_Al00_Co100_Cr00,550,0.0000,1.0000,0.0000,-4.31979940,-4.21895760,-4.23936034,3.55734827,9723.73033353,864,9776.7822,7952.5380,4888.3911
Comp03_Al00_Co00_Cr100,100,0.0000,0.0000,1.0000,-4.01658440,-3.99953082,-3.99797938,3.68304161,10791.29653057,864,2109.5936,1538.2162,1054.7968
Comp03_Al00_Co00_Cr100,350,0.0000,0.0000,1.0000,-3.99683056,-3.97682809,-3.97914596,3.68613719,10818.52955685,864,2001.8608,1566.9902,1000.9304
Comp03_Al00_Co00_Cr100,550,0.0000,0.0000,1.0000,-3.96128660,-3.94704690,-3.94706284,3.71499792,11074.63640023,864,1585.1816,1189.3306,792.5908
Comp04_Al25_Co75_Cr00,100,0.2500,0.7500,0.0000,-4.02722427,-3.96785204,-3.98692213,3.50277959,9283.08188852,864,5052.2426,4386.8346,2526.1213
Comp04_Al25_Co75_Cr00,350,0.2500,0.7500,0.0000,-4.01332446,-4.00218721,-4.01570608,3.51205310,9357.00735927,864,-296.9836,198.7064,-148.4918
Comp04_Al25_Co75_Cr00,550,0.2500,0.7500,0.0000,-4.00318554,-4.02238398,-4.02244619,3.51547977,9384.42271815,864,-2397.0848,-1795.8779,-1198.5424
Comp05_Al25_Co00_Cr75,100,0.2500,0.0000,0.7500,-3.89730762,-3.79307644,-3.85225584,3.69541972,10900.46605281,864,5074.1830,5471.9816,2537.0915
Comp05_Al25_Co00_Cr75,350,0.2500,0.0000,0.7500,-3.87634234,-3.85681823,-3.85795563,3.73039320,11212.89059585,864,2032.2464,1555.6136,1016.1232
Comp05_Al25_Co00_Cr75,550,0.2500,0.0000,0.7500,-3.85402704,-3.87342708,-3.87007896,3.76210985,11501.33276792,864,-1744.3997,-1399.2616,-872.1999
Comp06_Al00_Co25_Cr75,100,0.0000,0.2500,0.7500,-4.98239544,-5.00444776,-5.00907638,3.79300088,11786.98094743,864,-2852.4431,-2015.6216,-1426.2215
Comp06_Al00_Co25_Cr75,350,0.0000,0.2500,0.7500,-4.98240494,-4.99386033,-4.99309996,3.80235217,11874.37520203,864,-1137.7813,-873.5589,-568.8907
Comp06_Al00_Co25_Cr75,550,0.0000,0.2500,0.7500,-4.97216802,-4.97465742,-4.96740222,3.82054740,12045.65794381,864,502.1888,185.5155,251.0944
Comp07_Al50_Co50_Cr00,100,0.5000,0.5000,0.0000,-3.93663086,-3.83479667,-3.84487327,3.44617123,8840.24517710,864,11883.6544,9238.9994,5941.8272
Comp07_Al50_Co50_Cr00,350,0.5000,0.5000,0.0000,-3.97802587,-3.88162687,-3.89611491,3.40768017,8547.32530950,864,10849.4097,8616.8059,5424.7049
Comp07_Al50_Co50_Cr00,550,0.5000,0.5000,0.0000,-3.94804072,-3.91016639,-3.87073183,3.41604168,8610.39814849,864,10189.7812,6342.9071,5094.8906
Comp08_Al50_Co00_Cr50,100,0.5000,0.0000,0.5000,-3.77173369,-3.68182919,-3.66453071,3.85432009,12367.93192723,864,11099.2343,7876.6772,5549.6171
Comp08_Al50_Co00_Cr50,350,0.5000,0.0000,0.5000,-3.73777495,-3.71166335,-3.71364775,3.88126967,12629.18155043,864,2463.4348,1898.2289,1231.7174
Comp08_Al50_Co00_Cr50,550,0.5000,0.0000,0.5000,-3.70970552,-3.72699277,-3.72153044,3.89280241,12742.09477336,864,-1200.2046,-1038.7570,-600.1023
