CompName,Al_at_pct,Co_at_pct,Cr_at_pct,Temp_K,Structure,a_init_A,a_final_A
Comp01_Al100_Co00_Cr00,100,0,0,100,FCC,4.05,4.05502
Comp01_Al100_Co00_Cr00,100,0,0,350,FCC,4.05,4.06442
Comp01_Al100_Co00_Cr00,100,0,0,550,FCC,4.05,4.07532
Comp01_Al100_Co00_Cr00,100,0,0,100,HCP,2.86378,2.62029
Comp01_Al100_Co00_Cr00,100,0,0,350,HCP,2.86378,2.75632
Comp01_Al100_Co00_Cr00,100,0,0,550,HCP,2.86378,2.81339
Comp01_Al100_Co00_Cr00,100,0,0,100,DHCP,2.86378,2.81691
Comp01_Al100_Co00_Cr00,100,0,0,350,DHCP,2.86378,2.89683
Comp01_Al100_Co00_Cr00,100,0,0,550,DHCP,2.86378,2.86539
Comp02_Al00_Co100_Cr00,0,100,0,100,FCC,3.544,3.54058
Comp02_Al00_Co100_Cr00,0,100,0,350,FCC,3.544,3.54964
Comp02_Al00_Co100_Cr00,0,100,0,550,FCC,3.544,3.55735
Comp02_Al00_Co100_Cr00,0,100,0,100,HCP,2.50599,2.40358
Comp02_Al00_Co100_Cr00,0,100,0,350,HCP,2.50599,2.40738
Comp02_Al00_Co100_Cr00,0,100,0,550,HCP,2.50599,2.41404
Comp02_Al00_Co100_Cr00,0,100,0,100,DHCP,2.50599,2.40353
Comp02_Al00_Co100_Cr00,0,100,0,350,DHCP,2.50599,2.41285
Comp02_Al00_Co100_Cr00,0,100,0,550,DHCP,2.50599,2.41213
Comp03_Al00_Co00_Cr100,0,0,100,100,FCC,2.885,3.68304
Comp03_Al00_Co00_Cr100,0,0,100,350,FCC,2.885,3.68614
Comp03_Al00_Co00_Cr100,0,0,100,550,FCC,2.885,3.715
Comp03_Al00_Co00_Cr100,0,0,100,100,HCP,2.04,2.09349
Comp03_Al00_Co00_Cr100,0,0,100,350,HCP,2.04,2.09185
Comp03_Al00_Co00_Cr100,0,0,100,550,HCP,2.04,2.09478
Comp03_Al00_Co00_Cr100,0,0,100,100,DHCP,2.04,2.0915
Comp03_Al00_Co00_Cr100,0,0,100,350,DHCP,2.04,2.09137
Comp03_Al00_Co00_Cr100,0,0,100,550,DHCP,2.04,2.09965
Comp04_Al25_Co75_Cr00,25,75,0,100,FCC,3.6705,3.50278
Comp04_Al25_Co75_Cr00,25,75,0,350,FCC,3.6705,3.51205
Comp04_Al25_Co75_Cr00,25,75,0,550,FCC,3.6705,3.51548
Comp04_Al25_Co75_Cr00,25,75,0,100,HCP,2.59544,2.38998
Comp04_Al25_Co75_Cr00,25,75,0,350,HCP,2.59544,2.38388
Comp04_Al25_Co75_Cr00,25,75,0,550,HCP,2.59544,2.37139
Comp04_Al25_Co75_Cr00,25,75,0,100,DHCP,2.59544,2.3863
Comp04_Al25_Co75_Cr00,25,75,0,350,DHCP,2.59544,2.36845
Comp04_Al25_Co75_Cr00,25,75,0,550,DHCP,2.59544,2.37025
Comp05_Al25_Co00_Cr75,25,0,75,100,FCC,3.17625,3.69542
Comp05_Al25_Co00_Cr75,25,0,75,350,FCC,3.17625,3.73039
Comp05_Al25_Co00_Cr75,25,0,75,550,FCC,3.17625,3.76211
Comp05_Al25_Co00_Cr75,25,0,75,100,HCP,2.24595,2.12461
Comp05_Al25_Co00_Cr75,25,0,75,350,HCP,2.24595,2.11295
Comp05_Al25_Co00_Cr75,25,0,75,550,HCP,2.24595,2.11936
Comp05_Al25_Co00_Cr75,25,0,75,100,DHCP,2.24595,2.10958
Comp05_Al25_Co00_Cr75,25,0,75,350,DHCP,2.24595,2.12032
Comp05_Al25_Co00_Cr75,25,0,75,550,DHCP,2.24595,2.11747
Comp06_Al00_Co25_Cr75,0,25,75,100,FCC,3.04975,3.793
Comp06_Al00_Co25_Cr75,0,25,75,350,FCC,3.04975,3.80235
Comp06_Al00_Co25_Cr75,0,25,75,550,FCC,3.04975,3.82055
