# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -3.84261
2000 -3.84303
3000 -3.84365
4000 -3.84687
5000 -3.84888
6000 -3.85068
7000 -3.84954
8000 -3.85168
9000 -3.85134
10000 -3.85109
11000 -3.85294
12000 -3.85239
13000 -3.853
14000 -3.85216
15000 -3.85347
16000 -3.85709
17000 -3.85685
18000 -3.85778
19000 -3.85748
20000 -3.85793
21000 -3.8585
22000 -3.85718
23000 -3.8566
24000 -3.8569
25000 -3.85842
26000 -3.85746
27000 -3.85741
28000 -3.85728
29000 -3.85707
30000 -3.85726
31000 -3.85808
32000 -3.85594
33000 -3.85722
34000 -3.85795
35000 -3.85795
36000 -3.8566
37000 -3.85721
38000 -3.8578
39000 -3.85837
40000 -3.85826
41000 -3.85907
42000 -3.859
43000 -3.85908
44000 -3.85851
45000 -3.85814
46000 -3.85747
47000 -3.85832
48000 -3.85895
49000 -3.85851
50000 -3.85796
