# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
1000 11788.1 22.7587 22.7587 22.7587
2000 11787.3 22.7582 22.7582 22.7582
3000 11787.5 22.7583 22.7583 22.7583
4000 11784.7 22.7565 22.7565 22.7565
5000 11779 22.7529 22.7529 22.7529
6000 11780.7 22.754 22.754 22.754
7000 11782.8 22.7553 22.7553 22.7553
8000 11779.1 22.7529 22.7529 22.7529
9000 11783.7 22.7559 22.7559 22.7559
10000 11785.8 22.7572 22.7572 22.7572
11000 11787.7 22.7584 22.7584 22.7584
12000 11788.9 22.7593 22.7593 22.7593
13000 11791 22.7606 22.7606 22.7606
14000 11789.4 22.7596 22.7596 22.7596
15000 11789.1 22.7594 22.7594 22.7594
16000 11790 22.7599 22.7599 22.7599
17000 11789.4 22.7596 22.7596 22.7596
18000 11791.3 22.7608 22.7608 22.7608
19000 11791.7 22.761 22.761 22.761
20000 11792.4 22.7615 22.7615 22.7615
21000 11794 22.7625 22.7625 22.7625
22000 11793.8 22.7624 22.7624 22.7624
23000 11793.6 22.7622 22.7622 22.7622
24000 11793.1 22.7619 22.7619 22.7619
25000 11793.1 22.7619 22.7619 22.7619
26000 11793.8 22.7624 22.7624 22.7624
27000 11796.3 22.764 22.764 22.764
28000 11796 22.7638 22.7638 22.7638
29000 11794.3 22.7627 22.7627 22.7627
30000 11794.3 22.7627 22.7627 22.7627
31000 11793.4 22.7622 22.7622 22.7622
32000 11791.7 22.7611 22.7611 22.7611
33000 11791.3 22.7608 22.7608 22.7608
34000 11791.7 22.761 22.761 22.761
35000 11793.5 22.7622 22.7622 22.7622
36000 11790.4 22.7602 22.7602 22.7602
37000 11791.4 22.7608 22.7608 22.7608
38000 11792.3 22.7615 22.7615 22.7615
39000 11792.5 22.7615 22.7615 22.7615
40000 11792.8 22.7617 22.7617 22.7617
41000 11791.6 22.761 22.761 22.761
42000 11790.6 22.7603 22.7603 22.7603
43000 11791.9 22.7611 22.7611 22.7611
44000 11792.6 22.7616 22.7616 22.7616
45000 11793.4 22.7622 22.7622 22.7622
46000 11793.3 22.762 22.762 22.762
47000 11797 22.7645 22.7645 22.7645
48000 11799.2 22.7659 22.7659 22.7659
49000 11798.1 22.7652 22.7652 22.7652
50000 11800.4 22.7667 22.7667 22.7667
