# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
1000 5993.82 12.8446 22.2474 20.9751
2000 5997.58 12.8473 22.2521 20.9795
3000 6000.91 12.8496 22.2562 20.9834
4000 6002.86 12.851 22.2586 20.9856
5000 6000.02 12.849 22.2551 20.9823
6000 6000.58 12.8494 22.2558 20.983
7000 6001.55 12.8501 22.257 20.9841
8000 6007.85 12.8546 22.2648 20.9914
9000 6004.18 12.8519 22.2602 20.9871
10000 6006.04 12.8533 22.2625 20.9893
11000 6005.98 12.8532 22.2625 20.9893
12000 6001.2 12.8498 22.2566 20.9837
13000 6003.86 12.8517 22.2598 20.9868
14000 6001.15 12.8498 22.2565 20.9836
15000 6007.91 12.8546 22.2648 20.9915
16000 5999.47 12.8486 22.2544 20.9817
17000 6000.46 12.8493 22.2556 20.9828
18000 6003.89 12.8518 22.2599 20.9868
19000 6001.97 12.8504 22.2575 20.9846
20000 6001.13 12.8498 22.2565 20.9836
21000 6000.94 12.8496 22.2562 20.9833
22000 5999.31 12.8485 22.2542 20.9815
23000 5993.93 12.8446 22.2476 20.9752
24000 5997.01 12.8468 22.2514 20.9788
25000 6001 12.8497 22.2563 20.9834
26000 5992.5 12.8436 22.2458 20.9736
27000 5992.25 12.8434 22.2455 20.9732
28000 5992.67 12.8437 22.246 20.9737
29000 5998.39 12.8478 22.2531 20.9804
30000 6000.83 12.8496 22.2561 20.9833
31000 6006.13 12.8533 22.2626 20.9894
32000 5992.61 12.8437 22.2459 20.9736
33000 6005.26 12.8527 22.2615 20.9884
34000 6004.04 12.8518 22.2601 20.987
35000 6000.43 12.8492 22.2555 20.9827
36000 6000.55 12.8494 22.2557 20.9829
37000 5993.87 12.8446 22.2475 20.9751
38000 5994.84 12.8453 22.2487 20.9763
39000 5997.37 12.8471 22.2518 20.9792
40000 5997.26 12.847 22.2517 20.9791
41000 5993.46 12.8443 22.2469 20.9746
42000 5994.16 12.8448 22.2478 20.9754
43000 5992.61 12.8437 22.2459 20.9736
44000 5988.45 12.8407 22.2408 20.9688
45000 5988.75 12.8409 22.2412 20.9692
46000 5991.18 12.8427 22.2442 20.972
47000 5985.88 12.8389 22.2376 20.9658
48000 5993.31 12.8442 22.2468 20.9745
49000 5995.25 12.8456 22.2492 20.9767
50000 5994.18 12.8448 22.2479 20.9755
