# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -4.16212
2000 -4.16158
3000 -4.16112
4000 -4.16003
5000 -4.16095
6000 -4.15962
7000 -4.15996
8000 -4.16028
9000 -4.16251
10000 -4.16205
11000 -4.16356
12000 -4.16211
13000 -4.16244
14000 -4.16311
15000 -4.16211
16000 -4.16136
17000 -4.16082
18000 -4.16126
19000 -4.16491
20000 -4.16417
21000 -4.16517
22000 -4.16387
23000 -4.16304
24000 -4.16477
25000 -4.16438
26000 -4.1641
27000 -4.16449
28000 -4.16348
29000 -4.16406
30000 -4.16283
31000 -4.16383
32000 -4.16313
33000 -4.16448
34000 -4.16533
35000 -4.16488
36000 -4.16458
37000 -4.16499
38000 -4.16453
39000 -4.16433
40000 -4.16629
41000 -4.16504
42000 -4.16509
43000 -4.16655
44000 -4.16606
45000 -4.16517
46000 -4.16632
47000 -4.16476
48000 -4.16506
49000 -4.16579
50000 -4.1656
