# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
1000 -4.12338
2000 -4.12423
3000 -4.12362
4000 -4.12382
5000 -4.12473
6000 -4.12514
7000 -4.12537
8000 -4.12669
9000 -4.12722
10000 -4.12711
11000 -4.12688
12000 -4.12725
13000 -4.12786
14000 -4.1284
15000 -4.12751
16000 -4.12757
17000 -4.12826
18000 -4.12933
19000 -4.12903
20000 -4.12956
21000 -4.12999
22000 -4.13109
23000 -4.13125
24000 -4.13125
25000 -4.13131
26000 -4.13207
27000 -4.13327
28000 -4.13401
29000 -4.13322
30000 -4.13523
31000 -4.13465
32000 -4.13401
33000 -4.13467
34000 -4.13601
35000 -4.1363
36000 -4.13528
37000 -4.13506
38000 -4.13548
39000 -4.1348
40000 -4.1358
41000 -4.13686
42000 -4.13598
43000 -4.13633
44000 -4.13653
45000 -4.13624
46000 -4.13504
47000 -4.13576
48000 -4.13533
49000 -4.13905
50000 -4.13683
