# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
1000 5974.49 12.8307 22.2235 20.9525
2000 5975.32 12.8313 22.2245 20.9535
3000 5976.7 12.8323 22.2262 20.9551
4000 5976.32 12.8321 22.2258 20.9547
5000 5976.83 12.8324 22.2264 20.9553
6000 5973.7 12.8302 22.2225 20.9516
7000 5975.7 12.8316 22.225 20.9539
8000 5976.47 12.8322 22.226 20.9548
9000 5972.38 12.8292 22.2209 20.95
10000 5971.56 12.8286 22.2199 20.9491
11000 5970.7 12.828 22.2188 20.9481
12000 5971.38 12.8285 22.2196 20.9489
13000 5972 12.829 22.2204 20.9496
14000 5972.62 12.8294 22.2212 20.9503
15000 5970.7 12.828 22.2188 20.9481
16000 5968.51 12.8265 22.2161 20.9455
17000 5968.28 12.8263 22.2158 20.9453
18000 5968.06 12.8261 22.2155 20.945
19000 5968.92 12.8268 22.2166 20.946
20000 5969.71 12.8273 22.2176 20.9469
21000 5967.15 12.8255 22.2144 20.9439
22000 5966.5 12.825 22.2136 20.9432
23000 5968.09 12.8262 22.2156 20.945
24000 5967.48 12.8257 22.2148 20.9443
25000 5970.8 12.8281 22.2189 20.9482
26000 5969.28 12.827 22.217 20.9464
27000 5968.83 12.8267 22.2165 20.9459
28000 5970.2 12.8277 22.2182 20.9475
29000 5968.31 12.8263 22.2158 20.9453
30000 5966.98 12.8254 22.2142 20.9437
31000 5966.05 12.8247 22.213 20.9426
32000 5967.83 12.826 22.2152 20.9447
33000 5970.46 12.8279 22.2185 20.9478
34000 5969.06 12.8269 22.2168 20.9462
35000 5971.27 12.8284 22.2195 20.9487
36000 5972.33 12.8292 22.2208 20.95
37000 5972.68 12.8294 22.2212 20.9504
38000 5975.27 12.8313 22.2245 20.9534
39000 5973.71 12.8302 22.2225 20.9516
40000 5973.31 12.8299 22.222 20.9511
41000 5970.63 12.828 22.2187 20.948
42000 5970.94 12.8282 22.2191 20.9484
43000 5974 12.8304 22.2229 20.9519
44000 5972.19 12.8291 22.2207 20.9498
45000 5972.41 12.8293 22.2209 20.9501
46000 5972.84 12.8296 22.2215 20.9506
47000 5968.76 12.8266 22.2164 20.9458
48000 5972.25 12.8291 22.2207 20.9499
49000 5971.09 12.8283 22.2193 20.9485
50000 5969.21 12.827 22.2169 20.9463
