Temp_K,E_FCC_eV,E_HCP_eV,E_DHCP_eV,A_FCC_A2,natoms,gamma_ISF_DMLF_mJm2,gamma_ESF_DMLF_mJm2,gamma_Twin_DMLF_mJm2,delta_E_dhcp_fcc_eV,delta_E_hcp_fcc_eV,CompName,gamma_ISF_Ising_mJm2,gamma_Twin_Ising_mJm2
100,-3.34690240098578,-3.32315181650437,-3.23774372048948,591.955226908301,864,10210.655986661735,5660.732855590185,5105.327993330869,94.31309994880326,20.520504991938324,Comp01_Al100_Co00_Cr00,1110.8094707661714,2221.618941532343
350,-3.31276195011193,-3.22599281036746,-3.21751094405051,594.701924373334,864,8868.587482885794,6454.009171383795,4434.293741442897,82.29686923706689,74.96853673922216,Comp01_Al100_Co00_Cr00,4039.4299371175216,8078.859874235043
550,-3.2839024545075,-3.18811963128207,-3.1913238101828,597.896629623245,864,8573.712934928715,6504.46949372456,4286.856467464358,79.98794869654068,82.7563592667714,Comp01_Al100_Co00_Cr00,4435.225039341004,8870.450078682008
100,-4.38052678772397,-4.27120538772579,-4.26577308633561,451.284919772813,864,14079.91743480225,10393.306511870378,7039.958717401125,99.14719799954318,94.45368959842745,Comp02_Al00_Co100_Cr00,6706.694056866469,13413.388113732937
350,-4.34668855105116,-4.25338328443982,-4.2413620001815,453.59885633637,864,12857.310687112642,9276.120658950616,6428.655343556321,91.00213995138616,80.61575035219784,Comp02_Al00_Co100_Cr00,5694.929329843304,11389.858659686608
550,-4.31979940235645,-4.21895759634165,-4.23936034274271,455.570160890185,864,9776.782208209292,7952.537986301611,4888.391104104647,69.49934750627125,87.12732039678698,Comp02_Al00_Co100_Cr00,6128.292364451528,12256.584728903055
100,-4.01658440451437,-3.9995308216583,-3.99797937712129,488.332637375801,864,2109.59355275194,1538.21622645788,1054.79677637597,16.07474366762132,14.734295587644723,Comp03_Al00_Co00_Cr100,966.8386792999348,1933.6773585998696
350,-3.9968305593398,-3.9768280943119,-3.97914596313913,489.153866365675,864,2001.8608395639371,1566.990155889822,1000.9304197819688,15.279491117378669,17.282129784105635,Comp03_Al00_Co00_Cr100,1132.1192135952629,2264.2384271905257
550,-3.96128660476519,-3.94704689530494,-3.94706284341327,496.843544032446,864,1585.18163718758,1189.3305662033108,792.59081859379,12.28932980805854,12.303108973655997,Comp03_Al00_Co00_Cr100,793.4793139572362,1586.9586279144723
100,-4.02722427071991,-3.96785204269208,-3.98692213235986,441.700734046986,864,5052.24258771551,4386.834590817085,2526.121293857755,34.821047543083324,51.29760501604525,Comp04_Al25_Co75_Cr00,3721.42574379902,7442.85148759804
350,-4.01332446115354,-4.00218721160955,-4.01570608378276,444.042610689954,864,-296.9836411149581,198.70643841518373,-148.49182055747906,-2.057721951646016,9.622583606007822,Comp04_Al25_Co75_Cr00,694.3963593179545,1388.792718635909
550,-4.00318554284587,-4.02238397604636,-4.0224461904937,444.90952965018,864,-2397.0848384194937,-1795.8779032983043,-1198.5424192097469,-16.64119956772558,-16.587446285223336,Comp04_Al25_Co75_Cr00,-1194.6706952674585,-2389.341390534917
100,-3.89730761909598,-3.7930764410618,-3.85225584017469,491.620568287452,864,5074.183006659695,5471.981562106307,2537.0915033298475,38.92473698799464,90.05573782153135,Comp05_Al25_Co00_Cr75,5869.778776665163,11739.557553330325
350,-3.8763423374707,-3.85681822800498,-3.85795563462925,500.970004318959,864,2032.246390226388,1555.6136264080212,1016.123195113194,15.88611125501275,16.8688305783822,Comp05_Al25_Co00_Cr75,1078.980616108151,2157.961232216302
550,-3.85402703559229,-3.87342707980492,-3.87007896472304,509.524939448203,864,-1744.399744386912,-1399.2616335860137,-872.199872193456,-13.868866768968132,-16.761638199712394,Comp05_Al25_Co00_Cr75,-1054.1232819820018,-2108.2465639640036
