# step total_energy
0.000000000000000000e+00 -1.455460000000078435e+04
2.700000000000000000e+01 -2.887940000000019791e+04
5.400000000000000000e+01 -5.579140000000238797e+04
8.100000000000000000e+01 -5.947160000000165746e+04
1.090000000000000000e+02 -6.144490000000142754e+04
1.360000000000000000e+02 -6.271500000000191358e+04
1.630000000000000000e+02 -6.338020000000187429e+04
1.900000000000000000e+02 -6.407670000000161963e+04
2.180000000000000000e+02 -6.448900000000110595e+04
2.450000000000000000e+02 -6.537780000000118889e+04
2.720000000000000000e+02 -6.550140000000088912e+04
3.000000000000000000e+02 -6.563540000000066357e+04
