# step interface_length
0.000000000000000000e+00 5.304200000000000000e+04
2.700000000000000000e+01 4.170900000000000000e+04
5.400000000000000000e+01 2.028500000000000000e+04
8.100000000000000000e+01 1.730600000000000000e+04
1.090000000000000000e+02 1.570500000000000000e+04
1.360000000000000000e+02 1.463500000000000000e+04
1.630000000000000000e+02 1.410500000000000000e+04
1.900000000000000000e+02 1.351100000000000000e+04
2.180000000000000000e+02 1.320000000000000000e+04
2.450000000000000000e+02 1.243500000000000000e+04
2.720000000000000000e+02 1.232900000000000000e+04
3.000000000000000000e+02 1.226100000000000000e+04
